 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Test Fixture Nails     1573/1573  Selected Drills           26-January-2015 11:22
                        1573 Nails,  2540 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$251      5.4577   10.4023   2  D1   (B)  #810  PROG_SCL         T PIN T4602.1
$252      5.3977   10.4403   2  D1   (B)  #811  PROG_SDA         T PIN T4601.1
$253      5.2957   10.4303   1  D1   (B)  #360  P_1_2VS_FB_10    T PIN TB_TP37.1
$254      5.2787   10.2203   1  D1   (B)  #677  +1_2VO           T PIN TB_TP40.1
$255      5.1797    9.9263   1  D1   (B)  #1676 FBA_D12          T PIN TB_TP827.1
$256      5.4137    9.9403   1  D1   (B)  #803  LVDS_LCLKP       T PIN TB_TP755.1
$257      5.5327    9.8343   1  D1   (B)  #804  LVDS_L0N         T PIN TB_TP692.1
$258      5.5967    9.6723   1  D1   (B)  #633  INT_MIC_P        T PIN TB_TP593.1
$259      5.5047    9.5973   1  D1   (B)  #806  LVDS_L1N         T PIN TB_TP597.1
$260      5.5027    9.5073   3  D1   (B)  #808  LVDS_L2N         T PIN TB_TP623.1
$261      5.4417    9.4743   1  D1   (B)  #802  LVDS_LCLKN       T PIN TB_TP602.1
$262      5.4367    9.3483   1  D1   (B)  #952  FBAVREFA0        T PIN TB_TP828.1
$263      5.7367    9.3053   2  D1   (B)  #428  BL_EN            T PIN TB_TP639.1
$264      5.7117    9.2253   1  D1   (B)  #673  EDP_HPD_CON      T PIN TB_TP887.1
$265      5.3347    9.1093   2  D1   (B)  #1662 FBA_CMD26        T PIN TB_TP756.1
$266      5.2637    9.1133   2  D1   (B)  #1670 FBA_CMD8         T PIN TB_TP375.1
$267      5.1147    9.1443   1  D1   (B)  #1668 FBA_CMD6         T PIN TB_TP1187.1
$268      4.9907    9.1423   1  D1   (B)  #1667 FBA_CMD4         T PIN TB_TP1049.1
$269      4.8367    9.0413   1  D1   (B)  #1671 FBA_CMD9         T PIN TB_TP604.1
$270      4.7687    9.1013   1  D1   (B)  #1650 FBA_CMD11        T PIN TB_TP413.1
$271      4.7607    8.9823   2  D2   (B)  #1659 FBA_CMD23        T PIN TB_TP350.1
$272      4.8327    8.9453   1  D2   (B)  #1663 FBA_CMD27        T PIN TB_TP937.1
$273      5.4527    8.9583   1  D2   (B)  #200  FBA_ZQ2          T PIN TB_TP850.1
$274      5.4817    8.8423   1  D2   (B)  #539  FBA_CMD19        T PIN TB_TP906.1
$275      6.1727    8.9343   2  D2   (B)  #63   I_BAT_SENSE-     T PIN TB_TP707.1
$276      6.1727    8.8643   2  D2   (B)  #62   I_BAT_SENSE+     T PIN TB_TP732.1
