 CHICAGO_HR_HPC_MV_MB_V1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1429/6711 Selected Drills           5-Mar-2011 8:40
                       1429 Nails, 2192 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$328       4.049    -2.851   1  D3   (T)  #1332 P_+V12A_D3_10    V VIA .
$329       3.963    -2.970   3  D3   (T)  #556  USB_PN0          V VIA .
$330       3.963    -2.919   3  D3   (T)  #555  USB_PP0          V VIA .
$331       3.890    -2.850   1  D3   (T)  #199  P_+V5A_DL_30     V VIA .
$332       3.764    -2.791   1  D3   (T)  #1330 P_+V5A_BST-_20   V VIA .
$333       3.704    -2.724   1  C3   (T)  #121  P_+5V3V_VREG5_10 V VIA .
$334       3.497    -2.805   1  C3   (T)  #76   P_5V3V_VIN_SHAPE V VIA .
$335       3.507    -3.004   1  C3   (T)  #197  P_+V5A_DH_30     V VIA .
$336       3.379    -3.056   1  C3   (T)  #204  P_+V5A_LX_30     V VIA .
$337       3.241    -2.966   1  C3   (T)  #214  P_+V5A_VO1_10    V VIA .
$338       3.209    -3.043   2  C3   (T)  #1432 P_+V12A_V5_INPUT_10 V VIA .
$339       2.929    -2.997   1  C3   (T)  #21   P_+V5A_OUT_S     V VIA .
$340       1.751    -3.817   1  B4   (T)  #714  USB_PN1          V VIA .
$341       1.317    -3.295   1  B3   (T)  #1476 P_OTH_DIS_+V1.5VDDQ V VIA .
$342       1.166    -3.264   1  A3   (T)  #1464 SLP_S3_12R       V VIA .
$343       1.142    -3.031   1  A3   (T)  #494  P_+V1.5_LX_30    V VIA .
$344       1.290    -3.088   2  B3   (T)  #1354 P_+V1.5_SNB_20   V VIA .
$345       1.281    -3.158   2  B3   (T)  #1474 P_OTH_DIS_+V5S   V VIA .
$346       1.539    -3.242   1  B3   (T)  #1477 P_OTH_DIS_+V0.75S V VIA .
$347       1.507    -3.064   1  B3   (T)  #1475 P_OTH_DIS_+V3S   V VIA .
$348       1.900    -2.864   1  B3   (T)  #138  N72128639        V VIA .
$349       1.972    -2.742   3  B3   (T)  #147  USB_PN11         V VIA .
$350       2.004    -2.791   3  B3   (T)  #139  N72128664        V VIA .
$351       2.059    -2.974   1  B3   (T)  #149  EC_WLAN_DIS#_DB  V VIA .
$352       1.954    -3.186   3  B3   (T)  #145  LPC_AD0          V VIA .
$353       1.938    -3.235   3  B3   (T)  #141  LPC_AD2          V VIA .
$354       1.903    -3.271   3  B3   (T)  #142  LPC_AD3          V VIA .
$355       1.993    -3.219   3  B3   (T)  #144  LPC_AD1          V VIA .
$356       2.163    -3.337   1  B3   (T)  #645  SLP_S4#_3R       V VIA .
$357       2.400    -3.180   3  B3   (T)  #599  IMVP_VR_ON       V VIA .
$358       2.469    -3.148   3  B3   (T)  #1438 PX_MODE          V VIA .
$359       2.418    -3.119   3  B3   (T)  #1453 IMVP_VR_ON_PWR   V VIA .
$360       2.380    -3.053   1  B3   (T)  #216  P_+V3.3AL_OUT_20 V VIA .
$361       2.104    -2.770   3  B3   (T)  #1450 KBC_PWR_ON_PWR   V VIA .
$362       2.116    -2.656   1  B3   (T)  #129  N72647065        V VIA .
$363       1.971    -2.692   3  B3   (T)  #146  USB_PP11         V VIA .
$364       1.921    -2.510   1  B3   (T)  #608  OCP_OC#          V VIA .
$365       1.897    -2.382   1  B2   (T)  #605  EC_AC_LED#_W     V VIA .
$366       2.029    -2.359   1  B2   (T)  #218  +VCHG            V VIA .
$367       2.346    -2.317   1  B2   (T)  #1463 CHG_SELECTOR_GATE_10 V VIA .
$368       2.439    -2.119   1  B2   (T)  #524  HEADER7_THER     V VIA .
$369       2.561    -1.845   1  C2   (T)  #176  EC_SMB1_DAT_3AL  V VIA .
$370       2.269    -2.120   1  B2   (T)  #523  HEADER7_SMC      V VIA .
$371       2.173    -2.123   1  B2   (T)  #522  HEADER7_SMD      V VIA .
$372       1.827    -2.314   1  B2   (T)  #625  EC_CHAR_LED#_A   V VIA .
$373       1.745    -2.334   2  B2   (T)  #1451 SLP_S4#_3R_PWR   V VIA .
$374       1.596    -2.485   1  B2   (T)  #80   P_+V1.5_VIN_SHAPE V VIA .
$375       1.251    -2.227   1  B2   (T)  #1335 P_+V1.5_BST-_10  V VIA .
$376       0.416    -1.850   1  A2   (T)  #1452 SLP_S3#_3R_PWR   V VIA .
$377       0.533    -2.049   1  A2   (T)  #10   P_+V1.8S_VIN_SHAPE V VIA .
$378       0.924    -2.207   1  A2   (T)  #507  P_+V1.5_TRIP_10  V VIA .
$379       1.041    -2.220   1  A2   (T)  #508  P_+V1.5_BST+_10  V VIA .
$380       1.084    -2.429   1  A2   (T)  #495  P_+V1.5_DL_30    V VIA .
$381       0.989    -2.481   1  A2   (T)  #506  P_+V1.5_RF_10    V VIA .
$382       0.897    -2.488   1  A2   (T)  #509  P_+V1.5_FB_10    V VIA .
$383       0.831    -2.293   1  A2   (T)  #505  P_+V1.5_EN_10    V VIA .
$384       0.688    -2.269   1  A2   (T)  #1469 SHUTDOWN#        V VIA .
$385       0.346    -2.707   3  A3   (T)  #31   KSI1             V VIA .
$386       0.346    -2.759   3  A3   (T)  #42   KSI7             V VIA .
$387       0.384    -2.793   3  A3   (T)  #51   KSI6             V VIA .
$388       0.348    -2.829   3  A3   (T)  #55   KSO9             V VIA .
$389       0.347    -2.881   3  A3   (T)  #56   KSI4             V VIA .
$390       0.371    -2.926   3  A3   (T)  #57   KSI5             V VIA .
$391       0.466    -2.947   1  A3   (T)  #58   KSO0             V VIA .
$392       1.115    -3.333   1  A3   (T)  #1479 P_OTH_DIS_+V1.8S V VIA .
$393       0.935    -3.479   1  A3   (T)  #1478 P_OTH_DIS_+V1.05S V VIA .
$394       0.989    -3.666   1  A3   (T)  #575  TRAVELADP        V VIA .
$395       0.978    -3.892   1  A4   (T)  #602  EC_ALW_EN        V VIA .
$396       0.622    -3.780   1  A4   (T)  #91   P_RUN_ON_LOAD_10 V VIA .
$397       0.493    -3.828   1  A4   (T)  #618  EC_CAPS_LED#_W   V VIA .
$398       0.670    -3.943   1  A4   (T)  #1380 P_OTH_S3_12R_10  V VIA .
$399       0.552    -4.257   1  A4   (T)  #641  +VSTBY_AL        V VIA .
$400       0.827    -4.306   1  A4   (T)  #598  EC_PWRBTN#_D     V VIA .
$401       0.868    -4.066   1  A4   (T)  #1223 EC_PWRBTN#       V VIA .
$402       1.089    -4.113   1  A4   (T)  #1443 N54967604        V VIA .
$403       1.043    -4.192   1  A4   (T)  #620  EC_TP_EN#        V VIA .
$404       0.996    -4.365   1  A4   (T)  #1306 RUN_SCI#         V VIA .
$405       1.132    -4.528   1  A4   (T)  #642  EC_WRST#         V VIA .
$406       0.978    -4.479   3  A4   (T)  #589  RUN_SCI#_D       V VIA .
$407       0.974    -4.532   3  A4   (T)  #1304 EC_SMI#          V VIA .
$408       0.855    -4.684   2  A4   (T)  #590  EC_SMI#_D        V VIA .
$409       0.858    -4.751   2  A4   (T)  #639  VCORE_C          V VIA .
$410       0.969    -4.813   2  A4   (T)  #1285 A20GATE          V VIA .
$411       0.970    -4.884   2  A4   (T)  #638  EC_VBAT          V VIA .
$412       1.134    -4.905   1  A4   (T)  #606  KBRST#_D         V VIA .
$413       1.033    -5.157   1  A5   (T)  #692  +V3.3A_TP        V VIA .
$414       0.810    -5.014   3  A5   (T)  #581  32KXCLKO         V VIA .
$415       0.759    -5.013   3  A5   (T)  #580  32KXCLKI         V VIA .
$416       0.700    -5.328   1  A5   (T)  #1440 N72999502        V VIA .
$417       0.521    -5.438   1  A5   (T)  #631  N55054886        V VIA .
$418       0.438    -5.218   3  A5   (T)  #628  E51RXD           V PIN TPI7.1
$419       0.561    -5.156   1  A5   (T)  #600  EC_ACPRESENT_D   V VIA .
