 3.1        Tebo-ICT,  license #willjames
R0806        -2.7536   -0.0145   90.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0807        -3.0446    0.4205    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0808        -3.0446    0.4595    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0809        -2.9966    0.2945  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0810        -2.8966    0.2945    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0811        -2.8935    0.1345  270.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0812        -3.2346    0.2635    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0813        -3.2136    0.3065  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0901        -2.6395    0.6795   90.0  B2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R0902        -2.9545    0.6195    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0903        -2.8695    0.6005    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0904        -2.6336    0.6015    0.0  B2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R0905        -2.9545    0.5795    0.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0906        -2.6906    0.5595  270.0  A2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R0907        -2.6366    0.5165  270.0  B2   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
R0908        -1.4613    1.3654   90.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
R0909        -2.8685    0.5625  180.0  A2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
